Started sim OpenDominion\Sim\Merfolk\LowSchools\Sim at 2021-07-06 12:52:49
Tick 900 (day 41 hr 12): 5944			 op: 0;	dp: 453144;	u1: 0;	u2: 5557 (0);	u3: 44100 (0);	u4: 0 (0);	peas: 79537
Tick 912 (day 42 hr 0): 6058			 op: 0;	dp: 459164;	u1: 0;	u2: 5557 (0);	u3: 44100 (0);	u4: 0 (0);	peas: 81535
Tick 924 (day 42 hr 12): 6155			 op: 0;	dp: 464662;	u1: 0;	u2: 5557 (0);	u3: 44100 (0);	u4: 0 (0);	peas: 84022
Tick 936 (day 43 hr 0): 6268			 op: 0;	dp: 470259;	u1: 0;	u2: 5557 (0);	u3: 44100 (0);	u4: 0 (0);	peas: 85989
Tick 948 (day 43 hr 12): 6365			 op: 0;	dp: 475729;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 88414
Tick 960 (day 44 hr 0): 6477			 op: 0;	dp: 480808;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 90381
Tick 972 (day 44 hr 12): 6574			 op: 0;	dp: 485594;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 92854
Tick 984 (day 45 hr 0): 6685			 op: 0;	dp: 490347;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 94793
Tick 996 (day 45 hr 12): 6782			 op: 0;	dp: 494775;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 97282
Tick 1008 (day 46 hr 0): 6892			 op: 0;	dp: 499333;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 99206
Tick 1020 (day 46 hr 12): 6989			 op: 0;	dp: 503435;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 101664
Tick 1032 (day 47 hr 0): 7099			 op: 0;	dp: 507700;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 103581
Tick 1044 (day 47 hr 12): 7196			 op: 0;	dp: 509458;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 106065
Tick 1056 (day 48 hr 0): 7306			 op: 0;	dp: 509165;	u1: 0;	u2: 5557 (0);	u3: 44129 (0);	u4: 0 (0);	peas: 108081
Tick 1068 (day 48 hr 12): 7399			 op: 0;	dp: 523580;	u1: 0;	u2: 5557 (0);	u3: 44359 (1047);	u4: 0 (0);	peas: 109156
Tick 1080 (day 49 hr 0): 7488			 op: 0;	dp: 523513;	u1: 0;	u2: 5557 (0);	u3: 45406 (0);	u4: 0 (0);	peas: 110833
Tick 1092 (day 49 hr 12): 7585			 op: 0;	dp: 534481;	u1: 0;	u2: 5557 (0);	u3: 45616 (785);	u4: 0 (0);	peas: 112290
Tick 1104 (day 50 hr 0): 7660			 op: 0;	dp: 534720;	u1: 0;	u2: 5557 (0);	u3: 46401 (0);	u4: 0 (0);	peas: 113124
