Started sim OpenDominion\Sim\Merfolk\MasonsSchoolsRr\Sim at 2021-07-06 22:28:36
Tick 960 (day 44 hr 0): 7059			 op: 0;	dp: 474382;	u1: 0;	u2: 3324 (0);	u3: 39511 (0);	u4: 0 (0);	peas: 133832
Tick 972 (day 44 hr 12): 7163			 op: 0;	dp: 477591;	u1: 0;	u2: 3324 (0);	u3: 39511 (0);	u4: 0 (0);	peas: 136111
Tick 984 (day 45 hr 0): 7280			 op: 0;	dp: 480829;	u1: 0;	u2: 3324 (0);	u3: 39511 (0);	u4: 0 (0);	peas: 138285
Tick 996 (day 45 hr 12): 7382			 op: 0;	dp: 484440;	u1: 0;	u2: 3324 (0);	u3: 39511 (0);	u4: 0 (0);	peas: 140562
Tick 1008 (day 46 hr 0): 7498			 op: 0;	dp: 487363;	u1: 0;	u2: 3324 (0);	u3: 39511 (0);	u4: 0 (0);	peas: 142683
Tick 1020 (day 46 hr 12): 7598			 op: 0;	dp: 492065;	u1: 0;	u2: 3324 (0);	u3: 39626 (0);	u4: 0 (0);	peas: 144843
Tick 1032 (day 47 hr 0): 7713			 op: 0;	dp: 494766;	u1: 0;	u2: 3324 (0);	u3: 39626 (0);	u4: 0 (0);	peas: 146934
Tick 1044 (day 47 hr 12): 7812			 op: 0;	dp: 507031;	u1: 0;	u2: 3324 (0);	u3: 39781 (610);	u4: 0 (0);	peas: 148367
Tick 1056 (day 48 hr 0): 7913			 op: 0;	dp: 507879;	u1: 0;	u2: 3324 (0);	u3: 40391 (0);	u4: 0 (0);	peas: 150852
Tick 1068 (day 48 hr 12): 8013			 op: 0;	dp: 520685;	u1: 0;	u2: 3324 (0);	u3: 40565 (831);	u4: 0 (0);	peas: 152599
Tick 1080 (day 49 hr 0): 8109			 op: 0;	dp: 520775;	u1: 0;	u2: 3324 (0);	u3: 41396 (0);	u4: 0 (0);	peas: 155104
Tick 1092 (day 49 hr 12): 8210			 op: 0;	dp: 531206;	u1: 0;	u2: 3324 (0);	u3: 41580 (641);	u4: 0 (0);	peas: 156973
Tick 1104 (day 50 hr 0): 8291			 op: 0;	dp: 531939;	u1: 0;	u2: 3324 (0);	u3: 42221 (0);	u4: 0 (0);	peas: 158221
