Started sim OpenDominion\Sim\Firewalker\Alchs\Sim at 2021-03-04 22:52:40
Tick 972 (day 44 hr 12): 7373			 op: 0;	dp: 510652;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 64904
Tick 984 (day 45 hr 0): 7480			 op: 0;	dp: 516815;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 66788
Tick 996 (day 45 hr 12): 7569			 op: 0;	dp: 522489;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 69067
Tick 1008 (day 46 hr 0): 7676			 op: 0;	dp: 528443;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 71020
Tick 1020 (day 46 hr 12): 7764			 op: 0;	dp: 534723;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 73283
Tick 1032 (day 47 hr 0): 7871			 op: 0;	dp: 540107;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 75223
Tick 1044 (day 47 hr 12): 7959			 op: 0;	dp: 545477;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 77539
Tick 1056 (day 48 hr 0): 8065			 op: 0;	dp: 550925;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 79401
Tick 1068 (day 48 hr 12): 8154			 op: 0;	dp: 555747;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 81705
Tick 1080 (day 49 hr 0): 8260			 op: 0;	dp: 560860;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 83632
Tick 1092 (day 49 hr 12): 8348			 op: 0;	dp: 565801;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 85874
Tick 1104 (day 50 hr 0): 8434			 op: 0;	dp: 533027;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 87176
